[18:23:16] error: Got invalid SLAM message!
[18:23:17] warning: Invalid size of payload!
[18:23:17] error: Received invalid SLAM message!
[18:23:17] error: Got invalid SLAM message!
[18:23:18] warning: Invalid size of payload!
[18:23:18] error: Received invalid SLAM message!
[18:23:18] error: Got invalid SLAM message!
[18:23:19] warning: Invalid size of payload!
[18:23:19] error: Received invalid SLAM message!
[18:23:19] error: Got invalid SLAM message!
[18:23:20] warning: Invalid size of payload!
[18:23:20] error: Received invalid SLAM message!
[18:23:20] error: Got invalid SLAM message!
[18:23:21] warning: Invalid size of payload!
[18:23:21] error: Received invalid SLAM message!
[18:23:21] error: Got invalid SLAM message!
[18:23:22] warning: Invalid size of payload!
[18:23:22] error: Received invalid SLAM message!
[18:23:22] error: Got invalid SLAM message!
[18:23:23] warning: Invalid size of payload!
[18:23:23] error: Received invalid SLAM message!
[18:23:23] error: Got invalid SLAM message!
[18:23:24] warning: Invalid size of payload!
[18:23:24] error: Received invalid SLAM message!
[18:23:24] error: Got invalid SLAM message!
[18:23:25] warning: Invalid size of payload!
[18:23:25] error: Received invalid SLAM message!
[18:23:25] error: Got invalid SLAM message!
[18:23:26] warning: Invalid size of payload!
[18:23:26] error: Received invalid SLAM message!
[18:23:26] error: Got invalid SLAM message!
[18:23:27] warning: Invalid size of payload!
[18:23:27] error: Received invalid SLAM message!
[18:23:27] error: Got invalid SLAM message!
[18:23:28] warning: Invalid size of payload!
[18:23:28] error: Received invalid SLAM message!
[18:23:28] error: Got invalid SLAM message!
[18:23:29] warning: Invalid size of payload!
[18:23:29] error: Received invalid SLAM message!
[18:23:29] error: Got invalid SLAM message!
[18:23:30] warning: Invalid size of payload!
[18:23:30] error: Received invalid SLAM message!
[18:23:30] error: Got invalid SLAM message!
[18:23:31] warning: Invalid size of payload!
[18:23:31] error: Received invalid SLAM message!
[18:23:31] error: Got invalid SLAM message!
[18:23:32] warning: Invalid size of payload!
[18:23:32] error: Received invalid SLAM message!
[18:23:32] error: Got invalid SLAM message!
[18:23:33] warning: Invalid size of payload!
[18:23:33] error: Received invalid SLAM message!
[18:23:33] error: Got invalid SLAM message!
